[Log]OutLog Start
[Log]16:51:42.60-2: [Common/tools.lua:50]:-----------初始化BaseCtrl    Fight/FightView    table:0x16FAACE8
[Log]16:51:42.65-2: [Common/tools.lua:50]:----------显示ＵＩ,预设名字：    Fight/FightView    nil    table:0x16FAF6C8
[Log]游戏暂停！
[Log]16:51:50.895-523: [Scene/Fight/CardAiAction.lua:66]:----移动    4    4    沙悟净
[Log]16:51:50.897-523: [Scene/Fight/CardAiAction.lua:66]:----移动    3    4    孙悟空
[Log]16:51:50.899-523: [Scene/Fight/CardAiAction.lua:66]:----移动    2    6    猪八戒
[Log]16:51:50.900-523: [Scene/Fight/CardAiAction.lua:66]:----移动    5    4    白龙马
[Log]16:51:50.900-523: [Scene/Fight/CardAiAction.lua:66]:----移动    6    6    唐僧
[Log]16:51:50.903-523: [Scene/Fight/CardAiAction.lua:66]:----移动    1    2    孙悟空
[Log]16:51:51.624-567: [Scene/Fight/CardAiAction.lua:66]:----移动    4    3    沙悟净
[Log]16:51:51.625-567: [Scene/Fight/CardAiAction.lua:66]:----移动    3    3    孙悟空
[Log]16:51:51.626-567: [Scene/Fight/CardAiAction.lua:66]:----移动    2    5    猪八戒
[Log]16:51:51.627-567: [Scene/Fight/CardAiAction.lua:66]:----移动    5    3    白龙马
[Log]16:51:51.628-567: [Scene/Fight/CardAiAction.lua:66]:----移动    5    6    唐僧
[Log]16:51:51.629-567: [Scene/Fight/CardAiAction.lua:66]:----移动    1    3    孙悟空
[Log]16:51:52.353-611: [Scene/Fight/CardAiAction.lua:66]:----移动    4    4    沙悟净
[Log]16:51:52.354-611: [Scene/Fight/CardAiAction.lua:66]:----移动    2    3    孙悟空
[Log]16:51:52.355-611: [Scene/Fight/CardAiAction.lua:66]:----移动    2    4    猪八戒
[Log]16:51:52.356-611: [Scene/Fight/CardAiAction.lua:66]:----移动    5    4    白龙马
[Log]16:51:52.357-611: [Scene/Fight/CardAiAction.lua:66]:----移动    5    5    唐僧
[Log]16:51:52.357-611: [Scene/Fight/CardAiAction.lua:66]:----移动    2    3    孙悟空
[Log]16:51:53.82-655: [Scene/Fight/CardAiAction.lua:66]:----移动    3    4    沙悟净
[Log]16:51:53.83-655: [Scene/Fight/CardAiAction.lua:66]:----移动    5    3    白龙马
[Log]16:51:53.84-655: [Scene/Fight/CardAiAction.lua:66]:----移动    4    5    唐僧
[Log]16:51:53.811-699: [Scene/Fight/CardAiAction.lua:66]:----移动    4    3    白龙马
[Log]16:51:53.812-699: [Scene/Fight/CardAiAction.lua:66]:----移动    4    4    唐僧
[Log]16:51:54.539-743: [Scene/Fight/CardAiAction.lua:66]:----移动    3    3    白龙马
[Log]16:51:54.540-743: [Scene/Fight/CardAiAction.lua:66]:----移动    4    5    唐僧
[Log]16:51:55.269-787: [Scene/Fight/CardAiAction.lua:66]:----移动    4    4    唐僧
[Log]16:51:55.997-831: [Scene/Fight/CardAiAction.lua:66]:----移动    4    3    唐僧
[Log]16:51:56.727-875: [Scene/Fight/CardAiAction.lua:66]:----移动    4    2    唐僧
[Log]16:51:57.455-919: [Scene/Fight/CardAiAction.lua:66]:----移动    3    2    唐僧
[Log]OutLog Finish
