[Log]OutLog Start
[Log]21:57:31.843-2: [Common/tools.lua:50]:-----------初始化BaseCtrl    Fight/FightView    table:0x15173A40
[Log]21:57:31.849-2: [Common/tools.lua:50]:----------显示ＵＩ,预设名字：    Fight/FightView    nil    table:0x151A3F58
[Log]21:57:34.990-214: [Common/tools.lua:50]:---寻路    4    5    1    3
[Log]21:57:34.993-214: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]21:57:34.996-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    6    false
[Log]21:57:34.998-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:35.1-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    false
[Log]21:57:35.4-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    5    false
[Log]21:57:35.7-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    6    false
[Log]21:57:35.10-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    false
[Log]21:57:35.12-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    5    false
[Log]21:57:35.15-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    5    1
[Log]21:57:35.17-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    2
[Log]21:57:35.19-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    false
[Log]21:57:35.22-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    4    false
[Log]21:57:35.23-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:35.26-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    3
[Log]21:57:35.28-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.31-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:35.33-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    false
[Log]21:57:35.47-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:35.49-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    false
[Log]21:57:35.52-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    4
[Log]21:57:35.54-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    3    false
[Log]21:57:35.56-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    5
[Log]21:57:35.59-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    false
[Log]21:57:35.61-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.63-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    2    false
[Log]21:57:35.66-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    6
[Log]21:57:35.68-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    0    false
[Log]21:57:35.70-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    false
[Log]21:57:35.73-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    1    false
[Log]21:57:35.75-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.78-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    0    false
[Log]21:57:35.80-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    false
[Log]21:57:35.82-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    7
[Log]21:57:35.84-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    false
[Log]21:57:35.86-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    0    false
[Log]21:57:35.89-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:35.91-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    8
[Log]21:57:35.93-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:35.95-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    9
[Log]21:57:35.97-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    false
[Log]21:57:35.100-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.102-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    3    false
[Log]21:57:35.105-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:35.108-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    2    false
[Log]21:57:35.111-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    10
[Log]21:57:35.113-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    4    false
[Log]21:57:35.115-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    11
[Log]21:57:35.117-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    3    false
[Log]21:57:35.120-214: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:35.499-242: [Scene/Fight/CardAiAction.lua:76]:----移动    3    5    哪吒
[Log]21:57:35.704-258: [Common/tools.lua:50]:---寻路    3    5    1    3
[Log]21:57:35.705-258: [Common/tools.lua:50]:-------------当前探索起点    3    5    1
[Log]21:57:35.706-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    6    false
[Log]21:57:35.707-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    false
[Log]21:57:35.708-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    5    false
[Log]21:57:35.709-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    5    false
[Log]21:57:35.711-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    1
[Log]21:57:35.712-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    false
[Log]21:57:35.713-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    4    false
[Log]21:57:35.714-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:35.715-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    2
[Log]21:57:35.716-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.717-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:35.718-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    false
[Log]21:57:35.719-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:35.720-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    false
[Log]21:57:35.721-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    3
[Log]21:57:35.722-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    3    false
[Log]21:57:35.723-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    4
[Log]21:57:35.724-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    false
[Log]21:57:35.726-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.727-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    2    false
[Log]21:57:35.728-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    5
[Log]21:57:35.728-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    0    false
[Log]21:57:35.729-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    false
[Log]21:57:35.730-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    1    false
[Log]21:57:35.731-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.732-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    0    false
[Log]21:57:35.733-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    false
[Log]21:57:35.734-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    6
[Log]21:57:35.735-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    false
[Log]21:57:35.736-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    0    false
[Log]21:57:35.738-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:35.739-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    7
[Log]21:57:35.740-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:35.741-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    8
[Log]21:57:35.742-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    false
[Log]21:57:35.743-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:35.744-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    3    false
[Log]21:57:35.745-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:35.747-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    2    false
[Log]21:57:35.748-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    9
[Log]21:57:35.749-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    4    false
[Log]21:57:35.750-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    10
[Log]21:57:35.751-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    3    false
[Log]21:57:35.752-258: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:36.221-293: [Scene/Fight/CardAiAction.lua:76]:----移动    3    4    哪吒
[Log]21:57:36.437-309: [Common/tools.lua:50]:---寻路    3    4    1    3
[Log]21:57:36.438-309: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]21:57:36.439-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    false
[Log]21:57:36.440-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    false
[Log]21:57:36.442-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    4    false
[Log]21:57:36.443-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:36.444-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    1
[Log]21:57:36.445-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:36.446-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:36.447-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    false
[Log]21:57:36.448-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:36.450-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    false
[Log]21:57:36.451-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    2
[Log]21:57:36.451-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    3    false
[Log]21:57:36.453-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    3
[Log]21:57:36.454-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    false
[Log]21:57:36.455-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:36.457-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    2    false
[Log]21:57:36.458-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    2    4
[Log]21:57:36.459-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    0    false
[Log]21:57:36.460-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    false
[Log]21:57:36.461-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    5    1    false
[Log]21:57:36.463-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:36.464-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    0    false
[Log]21:57:36.465-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    false
[Log]21:57:36.466-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    1    5
[Log]21:57:36.468-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    false
[Log]21:57:36.469-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    0    false
[Log]21:57:36.470-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:36.471-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    1    6
[Log]21:57:36.472-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:36.473-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    1    7
[Log]21:57:36.475-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    false
[Log]21:57:36.476-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:36.477-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    3    false
[Log]21:57:36.479-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    1    false
[Log]21:57:36.480-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    2    false
[Log]21:57:36.481-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    2    8
[Log]21:57:36.482-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    4    false
[Log]21:57:36.483-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    2    9
[Log]21:57:36.484-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    3    false
[Log]21:57:36.485-309: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:36.952-343: [Scene/Fight/CardAiAction.lua:76]:----移动    3    3    哪吒
[Log]21:57:37.162-358: [Common/tools.lua:50]:---寻路    3    3    1    3
[Log]21:57:37.163-358: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]21:57:37.164-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    false
[Log]21:57:37.165-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    2    false
[Log]21:57:37.166-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    3    false
[Log]21:57:37.167-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    3    false
[Log]21:57:37.168-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    false
[Log]21:57:37.169-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    3    1
[Log]21:57:37.170-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    4    false
[Log]21:57:37.171-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    4    false
[Log]21:57:37.173-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    6    false
[Log]21:57:37.174-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    4    2
[Log]21:57:37.175-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    5    false
[Log]21:57:37.176-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    4    5    false
[Log]21:57:37.177-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    6    false
[Log]21:57:37.178-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    4    false
[Log]21:57:37.179-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    5    false
[Log]21:57:37.180-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    3    5    3
[Log]21:57:37.181-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    6    false
[Log]21:57:37.182-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    1    4    false
[Log]21:57:37.183-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    0    5    false
[Log]21:57:37.184-358: [Scene/Fight/FightAStar.lua:71]:-----周围的格子    2    5    4
