[Log]OutLog Start
[Log]22:03:48.206-2: [Common/tools.lua:50]:-----------初始化BaseCtrl    Fight/FightView    table:0x15B11520
[Log]22:03:48.211-2: [Common/tools.lua:50]:----------显示ＵＩ,预设名字：    Fight/FightView    nil    table:0x15206E68
[Log]22:03:50.375-145: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:03:50.378-145: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:03:50.381-145: [Common/tools.lua:50]:-------------当前探索起点    3    2    1
[Log]22:03:51.78-198: [Common/tools.lua:50]:-------------当前探索起点    3    5    1
[Log]22:03:51.80-198: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:51.789-248: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:03:51.791-248: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]22:03:52.515-302: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:03:52.516-302: [Common/tools.lua:50]:-------------当前探索起点    3    2    1
[Log]22:03:53.236-355: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:53.239-355: [Common/tools.lua:50]:-------------当前探索起点    3    1    1
[Log]22:03:53.740-392: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:53.952-407: [Common/tools.lua:50]:-------------当前探索起点    2    1    1
[Log]22:03:54.256-430: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:54.677-460: [Common/tools.lua:50]:-------------当前探索起点    1    1    1
[Log]22:03:54.767-467: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:55.272-503: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:55.788-539: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:56.295-575: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:56.798-613: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:57.305-649: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:57.810-687: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:58.311-726: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:58.813-762: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:59.328-801: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:03:59.845-839: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:04:00.357-876: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]22:04:00.874-916: [Common/tools.lua:50]:-------------当前探索起点    4    3    1
[Log]OutLog Finish
