[Log]OutLog Start
[Log]22:08:54.438-2: [Common/tools.lua:50]:-----------初始化BaseCtrl    Fight/FightView    table:0x1518DC88
[Log]22:08:54.443-2: [Common/tools.lua:50]:----------显示ＵＩ,预设名字：    Fight/FightView    nil    table:0x15207460
[Log]22:09:10.38-126: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:09:10.41-126: [Common/tools.lua:50]:-------------当前探索起点    3    5    1
[Log]22:09:10.44-126: [Common/tools.lua:50]:-------------当前探索起点    3    6    1
[Log]22:09:10.46-126: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:09:10.49-126: [Common/tools.lua:50]:-------------当前探索起点    5    6    1
[Log]22:09:10.51-126: [Common/tools.lua:50]:-------------当前探索起点    4    6    1
[Log]22:09:10.54-126: [Common/tools.lua:50]:-------------当前探索起点    1    3    1
[Log]22:09:10.527-160: [Common/tools.lua:50]:-------------当前探索起点    4    6    1
[Log]22:09:10.734-174: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:09:10.735-174: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:09:10.736-174: [Common/tools.lua:50]:-------------当前探索起点    2    6    1
[Log]22:09:10.738-174: [Common/tools.lua:50]:-------------当前探索起点    5    4    1
[Log]22:09:10.739-174: [Common/tools.lua:50]:-------------当前探索起点    6    6    1
[Log]22:09:10.742-174: [Common/tools.lua:50]:-------------当前探索起点    1    4    1
[Log]22:09:11.243-211: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:09:11.453-226: [Common/tools.lua:50]:-------------当前探索起点    4    5    1
[Log]22:09:11.455-226: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:09:11.456-226: [Common/tools.lua:50]:-------------当前探索起点    6    5    1
[Log]22:09:11.969-264: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:09:12.179-279: [Common/tools.lua:50]:-------------当前探索起点    4    4    1
[Log]22:09:12.180-279: [Common/tools.lua:50]:-------------当前探索起点    5    4    1
[Log]22:09:12.181-279: [Common/tools.lua:50]:-------------当前探索起点    6    4    1
[Log]22:09:12.693-316: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:09:12.898-331: [Common/tools.lua:50]:-------------当前探索起点    3    4    1
[Log]22:09:12.902-331: [Common/tools.lua:50]:-------------当前探索起点    5    5    1
[Log]22:09:12.904-331: [Common/tools.lua:50]:-------------当前探索起点    6    5    1
[Log]22:09:13.407-368: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]22:09:13.609-383: [Common/tools.lua:50]:-------------当前探索起点    3    3    1
[Log]22:09:13.609-383: [Common/tools.lua:50]:-------------当前探索起点    5    4    1
[Log]22:09:13.610-383: [Common/tools.lua:50]:-------------当前探索起点    6    4    1
[Log]OutLog Finish
